address,price,description,venue,phone,website,title,fullDates,moreInfo
1912 S. Orange Ave.,free-$5,Dorm Wednesday with DJ Daisy and the Pulse Dancers,Pulse,(407) 649-3888,http://www.pulseorlando.com,Dorm Wednesday with DJ Daisy and the Pulse Dancers,"3/16 9:00PM, 3/9 9:00PM, 4/6 9:00PM, 3/30 9:00PM, 3/23 9:00PM, 4/13 9:00PM, 4/20 9:00PM, 4/27 9:00PM",http://calendar.orlandoweekly.com/Events/e10561/Dorm_Wednesday_with_DJ_Daisy_and_the_Pulse_Dancers
5310 E. Colonial Drive,free,Una Noche Latina Mas,Mr. Sisters,(407) 545-2467,http://www.mrsisters.com,Una Noche Latina Mas,"3/9 9:00PM, 3/16 9:00PM, 3/23 9:00PM, 3/30 9:00PM",http://calendar.orlandoweekly.com/Events/e10842/Una_Noche_Latina_Mas
741 W. Church St.,free,Bearaoke Wednesdays,Stonewall Bar Orlando,(407) 373-0888,http://www.stonewallorlando.com,Bearaoke Wednesdays,"3/9 9:00PM, 3/16 9:00PM, 3/23 9:00PM, 3/30 9:00PM",http://calendar.orlandoweekly.com/Events/e9649/Bearaoke_Wednesdays
375 S. Bumby Ave.,free,Speechless Wednesdays with DJ Infinite,Revolution Nightclub,(407) 228-9900,http://www.revolutionorlando.com,Speechless Wednesdays with DJ Infinite,"3/9 10:00PM, 3/23 10:00PM, 4/6 10:00PM, 3/30 10:00PM, 4/20 10:00PM, 4/13 10:00PM, 3/16 10:00PM, 4/27 10:00PM",http://calendar.orlandoweekly.com/Events/e6620/Speechless_Wednesdays_with_DJ_Infinite
375 S. Bumby Ave.,free,Spring Break Xplosion 2011 with Blaze Adonis,Revolution Nightclub,(407) 228-9900,http://www.revolutionorlando.com,Spring Break Xplosion 2011 with Blaze Adonis,3/10 10:00PM,http://calendar.orlandoweekly.com/Events/e11023/Spring_Break_Xplosion_2011_with_Blaze_Adonis
410 N. Orange Blossom Trail,free,River and Wanzie host a weekly interactive talk and variety show with celebrity comedic and musical guests,"Footlight Theater, The Parliament House",(),http://www.wanzie.com,Stirfry TV Live!,3/12 8:00PM,http://calendar.orlandoweekly.com/Events/e10993/Stirfry_TV_Live
375 S. Bumby Ave.,free,Back Door Bumby with DJ Joanie and VJ JB Burgos,Revolution Nightclub,(407) 228-9900,http://www.revolutionorlando.com,Back Door Bumby with DJ Joanie and VJ JB Burgos,3/17 10:00PM,http://calendar.orlandoweekly.com/Events/e10414/Back_Door_Bumby_with_DJ_Joanie_and_VJ_JB_Burgos
410 N. Orange Blossom Trail,call for price,"Meet adult film stars, with meet-and-greets, vendor tables, autograph sessions and a chocolate dipping station",The Parliament House,(407) 425-7571,http://www.parliamenthouse.com,Erotica,3/26 8:00PM,http://calendar.orlandoweekly.com/Events/e10982/Erotica
375 S. Bumby Ave.,donations accepted,"Local musicians, artists, comics and entertainers perform to benefit the AIDS Walk Orlando",Revolution Nightclub,(407) 228-9900,http://www.revolutionorlando.com,Revstock,4/18 2:00PM,http://calendar.orlandoweekly.com/Events/e11024/Revstock
4757 S. Orange Ave.,$15,Victor Wainwright &amp; The Wildroots,McWells Restaurant and Bar,(407) 855-4006,http://www.mcwellsorlando.com/,Victor Wainwright & The Wildroots,3/12 8:00PM,http://calendar.orlandoweekly.com/Events/e8528/Victor_Wainwright_and_The_Wildroots
4757 S. Orange Ave.,$15,Davina &amp; The Vagabonds,McWells Restaurant and Bar,(407) 855-4006,http://www.mcwellsorlando.com/,Davina & The Vagabonds,3/26 8:00PM,http://calendar.orlandoweekly.com/Events/e8529/Davina_and_The_Vagabonds
4757 S. Orange Ave.,$15,Mike Zito,McWells Restaurant and Bar,(407) 855-4006,http://www.mcwellsorlando.com/,Mike Zito,4/9 8:00PM,http://calendar.orlandoweekly.com/Events/e8530/Mike_Zito
425 N. Bumby Ave.,$20-$30,Leo Kottke,The Plaza Theatre,(407) 228-1220,http://www.theplazatheatre.com,Leo Kottke,4/22 7:00PM,http://calendar.orlandoweekly.com/Events/e9791/Leo_Kottke
1875 Silver Spur Lane,$40-$50,"Bluesmasters Music Festival featuring Eric Gales, Mickey Thomas, Ruthie Foster, Kenny Neal and others",Osceola Heritage Park,(800) 745-3000,http://www.ohpark.com/bluesmastersmusicfestival,"Bluesmasters Music Festival featuring Eric Gales, Mickey Thomas, Ruthie Foster, Kenny Neal and others",4/30 10:00AM,http://calendar.orlandoweekly.com/Events/e10995/Bluesmasters_Music_Festival_featuring_Eric_Gales_Mickey_Thomas_Ruthie_Foster_Kenny_Neal_and_others
29 S. Orange Ave.,$5-$15,Comics battle in an improv-comedy competition,SAK Comedy Lab,(407) 648-0001,http://www.sak.com,Duel of Fools,"3/3 7:30PM, 3/3 9:30PM, 3/4 7:30PM, 3/4 9:30PM, 3/4 11:30PM, 3/5 7:30PM, 3/5 9:30PM, 3/10 7:30PM, 3/10 9:30PM, 3/11 7:30PM, 3/11 9:30PM, 3/11 11:30PM, 3/12 7:30PM, 3/12 9:30PM, 3/17 7:30PM, 3/17 9:30PM, 3/18 7:30PM, 3/18 9:30PM, 3/18 11:30PM, 3/19 7:30PM, 3/19 9:30PM, 3/24 7:30PM, 3/24 9:30PM, 3/25 7:30PM, 3/25 9:30PM, 3/25 11:30PM, 3/26 7:30PM, 3/26 9:30PM, 3/31 7:30PM, 3/31 9:30PM, 4/1 7:30PM, 4/1 9:30PM, 4/1 11:30PM, 4/2 7:30PM, 4/2 9:30PM, 4/7 7:30PM, 4/7 9:30PM, 4/8 7:30PM, 4/8 9:30PM, 4/8 11:30PM, 4/9 7:30PM, 4/9 9:30PM, 4/14 7:30PM, 4/14 9:30PM, 4/15 7:30PM, 4/15 9:30PM, 4/15 11:30PM, 4/16 7:30PM, 4/16 9:30PM, 4/21 7:30PM, 4/21 9:30PM, 4/22 7:30PM, 4/22 9:30PM, 4/22 11:30PM, 4/23 7:30PM, 4/23 9:30PM, 4/28 7:30PM, 4/28 9:30PM, 4/29 7:30PM, 4/29 9:30PM, 4/29 11:30PM, 4/30 7:30PM, 4/30 9:30PM",http://calendar.orlandoweekly.com/Events/e9741/Duel_of_Fools
"9101 International Drive, Suite 2310",$22,Comedian as seen as a weekly guest on the Chelsea Lately show,Improv Comedy Club &amp; Dinner Theatre,(407) 480-5233,http://www.theimprovorlando.com,Jo Koy,"3/3 8:00PM, 3/4 8:00PM, 3/4 10:30PM, 3/5 7:30PM, 3/5 10:15PM, 3/6 7:30PM",http://calendar.orlandoweekly.com/Events/e10134/Jo_Koy
29 S. Orange Ave.,$5-$15,Four performers battle to direct the best improv scene based on audience suggestions,SAK Comedy Lab,(407) 648-0001,http://www.sak.com,Gorilla Theatre,"3/3 9:30PM, 3/4 11:30PM, 3/10 9:30PM, 3/11 11:30PM, 3/17 9:30PM, 3/18 11:30PM, 3/24 9:30PM, 3/25 11:30PM, 3/31 9:30PM",http://calendar.orlandoweekly.com/Events/e10186/Gorilla_Theatre
129 W. Church St.,$10,With Jersey the Haitian Sensation,Mojo Cajun Bar &amp; Grill,(407) 629-2665,,The Joke Off,3/3 8:30PM,http://calendar.orlandoweekly.com/Events/e11329/The_Joke_Off
401 Channelside Drive,$37-$47,The comedian as seen in the film Death at a Funeral,St. Pete Times Forum,(813) 301-6500,http://www.sptimesforum.com,Kevin Hart,3/4 8:00PM,http://calendar.orlandoweekly.com/Events/e9964/Kevin_Hart
8267 International Drive,$10,An interactive improv show with characters and games,Sleuths Mystery Dinner Shows,(407) 363-1985,http://www.sleuths.com,Mama\u0027s Comedy Club,"3/4 10:00PM, 3/11 10:00PM, 3/18 10:00PM, 3/25 10:00PM",http://calendar.orlandoweekly.com/Events/e4484/Mamas_Comedy_Club
10749 E. Colonial Drive,$10,As seen on Comic View with Shannon Hall,Boardwalk Bowl,(407) 629-2665,,Tyrone Davis,"3/4 7:30PM, 3/5 7:30PM",http://calendar.orlandoweekly.com/Events/e11325/Tyrone_Davis
8267 International Drive,$10,Up Comedy Spotlight -  	Host Kevin White shares the stage with weekly guest comedians,Sleuths Mystery Dinner Shows,(407) 363-1985,http://www.sleuths.com,Stand-Up Comedy Spotlight,"3/5 10:00PM, 3/12 10:00PM, 3/19 10:00PM, 3/26 10:00PM, 4/2 10:00PM, 4/9 10:00PM, 4/16 10:00PM, 4/23 10:00PM, 4/30 10:00PM",http://calendar.orlandoweekly.com/Events/e9745/Stand-Up_Comedy_Spotlight
29 S. Orange Ave.,$10,High-energy improv with the SAK All-Stars taking comedy requests from the audience,SAK Comedy Lab,(407) 648-0001,http://www.sak.com,The Early Show,"3/5 11:30PM, 3/12 11:30PM, 3/19 11:30PM, 3/26 11:30PM, 4/2 11:30PM, 4/9 11:30PM, 4/16 11:30PM, 4/23 11:30PM, 4/30 11:30PM",http://calendar.orlandoweekly.com/Events/e9742/The_Early_Show
900 E. Washington St.,free,Tattoo&#39;d Bill hosts a &#39;70s-style game show with contestants competing for dinner and drinks,Graffiti Junktion,(407) 426-9503,http://www.graffitijunktion.com,The Dating Game,"3/5 8:30PM, 3/12 8:30PM, 3/26 8:30PM, 3/19 8:30PM",http://calendar.orlandoweekly.com/Events/e9405/The_Dating_Game
309 E. First St.,free,"Actors, writers, comedians, musicians and other acts perform",Little Fish Huge Pond,(407) 920-1321,http://www.littlefish-hugepond.com,Renegade Theater presents The Gong Show,"3/7 8:00PM, 3/14 8:00PM, 3/21 8:00PM, 3/28 8:00PM",http://calendar.orlandoweekly.com/Events/e11268/Renegade_Theater_presents_The_Gong_Show
444 N. Bumby Ave.,free,Dan Collins and Adam Sharf create improvised comedy scenes inspired by the audience,Drunken Monkey Coffee Bar,(407) 893-4994,http://www.drunkenmonkeycoffee.com,Improv Comedy,"3/8 8:00PM, 3/15 8:00PM, 3/22 8:00PM, 3/29 8:00PM, 4/5 8:00PM, 4/12 8:00PM, 4/19 8:00PM, 4/26 8:00PM",http://calendar.orlandoweekly.com/Events/e10769/Improv_Comedy
"9101 International Drive, Suite 2310",$14-$16,Comedian as seen on Last Comic Standing,Improv Comedy Club &amp; Dinner Theatre,(407) 480-5233,http://www.theimprovorlando.com,Al Jackson,"3/11 10:30PM, 3/11 8:00PM, 3/10 8:00PM, 3/12 10:15PM, 3/13 7:30PM, 3/12 7:30PM",http://calendar.orlandoweekly.com/Events/e10870/Al_Jackson
129 W. Church St.,$10,With J.C. Currais,Mojo Cajun Bar &amp; Grill,(407) 629-2665,,The Joke Off,3/10 8:30PM,http://calendar.orlandoweekly.com/Events/e11330/The_Joke_Off
10749 E. Colonial Drive,$10,As seen on Mad TV and Second City,Boardwalk Bowl,(407) 629-2665,,Rob Holloway,"3/11 7:30PM, 3/12 7:30PM",http://calendar.orlandoweekly.com/Events/e11326/Rob_Holloway
129 W. Church St.,$10,Comedian as seen on Comedy Central with Darren Moore,Mojo Cajun Bar &amp; Grill,(407) 629-2665,,Al Yountz,"3/12 10:30PM, 3/11 10:30PM",http://calendar.orlandoweekly.com/Events/e11331/Al_Yountz
717 W. Smith St.,$7,"She&#39;s a singer, poet and comedienne",Taste Restaurant,(407) 835-0646,http://www.tastecp.com,Amy Steinberg,3/12 9:30PM,http://calendar.orlandoweekly.com/Events/e11203/Amy_Steinberg
5223 Orient Road,$40,Comedian as seen in the TV show Full House,Seminole Hard Rock Hotel and Casino,(866) 502-7529,http://www.seminolehardrock.com,Bob Saget,3/13 8:00PM,http://calendar.orlandoweekly.com/Events/e11060/Bob_Saget
129 W. Church St.,$10,With Shawn Banks as seen on America&#39;s Got Talent,Mojo Cajun Bar &amp; Grill,(407) 629-2665,,The Joke Off,3/17 8:30PM,http://calendar.orlandoweekly.com/Events/e11332/The_Joke_Off
"9101 International Drive, Suite 2310",$22-$25,Veteran comic as seen in the films Little Nicky and Boomerang,Improv Comedy Club &amp; Dinner Theatre,(407) 480-5233,http://www.theimprovorlando.com,John Witherspoon,"3/18 8:00PM, 3/18 10:30PM, 3/19 7:30PM, 3/19 10:15PM, 3/20 7:30PM",http://calendar.orlandoweekly.com/Events/e10871/John_Witherspoon
10749 E. Colonial Drive,$20,The Orlando native stars in his own NBC sitcom Mr. Rhodes,Boardwalk Bowl,(407) 629-2665,,Tom Rhodes,"3/19 7:30PM, 3/18 7:30PM",http://calendar.orlandoweekly.com/Events/e11327/Tom_Rhodes
129 W. Church St.,$10,Comedian as seen on FOX with Evan Ferl,Mojo Cajun Bar &amp; Grill,(407) 629-2665,,Angelo Cianfrocco,3/19 10:30PM,http://calendar.orlandoweekly.com/Events/e11333/Angelo_Cianfrocco
410 N. Orange Blossom Trail,$10-$12,A Christopher Durang comedy starring Janine Klein and Frank McClain,"Footlight Theater, The Parliament House",(407) 509-0317,http://www.wanzie.com/boxoffice,Laughing Wild,"3/20 6:00PM, 3/28 8:00PM",http://calendar.orlandoweekly.com/Events/e10991/Laughing_Wild
129 W. Church St.,$10,With Tres Croswell,Mojo Cajun Bar &amp; Grill,(407) 629-2665,,The Joke Off,3/24 8:30PM,http://calendar.orlandoweekly.com/Events/e11334/The_Joke_Off
600 Auditorium Blvd.,$50.60,Stand-up comedian as seen on ABC&#39;s sitcom Rodney,"Peabody Auditorium, Daytona Beach",(904) 258-3169,http://www.peabodyauditorium.org,Rodney Carrington,3/25 7:30PM,http://calendar.orlandoweekly.com/Events/e10242/Rodney_Carrington
410 N. Orange Blossom Trail,$18-$24,Wanzie presents a comedic stage show,"Footlight Theater, The Parliament House",(),http://www.wanzie.com/boxoffice,Nice Jewish Girls Gone Bad,3/25 8:00PM,http://calendar.orlandoweekly.com/Events/e10992/Nice_Jewish_Girls_Gone_Bad
10749 E. Colonial Drive,$10,Comedian as seen on Comic Relief,Boardwalk Bowl,(407) 629-2665,,Frankie Paul,"3/25 7:30PM, 3/26 7:30PM",http://calendar.orlandoweekly.com/Events/e11328/Frankie_Paul
401 Channelside Drive,$39.50-$49.50,Harvey is one of the original Kings of Comedy and Franklin is a Grammy Award-winning gospel musician,St. Pete Times Forum,(813) 301-6500,http://www.sptimesforum.com,Steve Harvey and Kirk Franklin,3/26 8:00PM,http://calendar.orlandoweekly.com/Events/e9097/Steve_Harvey_and_Kirk_Franklin
3865 N. Wickham Road,$46.75-$66.75,"Best known as the cigar-smoking, scotch-drinking comedian from the Blue Collar Comedy Tour",King Center for Performing Arts,(321) 242-2219,http://www.kingcenter.com,Ron White,"3/26 7:00PM, 3/26 9:30PM",http://calendar.orlandoweekly.com/Events/e9222/Ron_White
3865 N. Wickham Road,$55-$85,Question-and-answer session featuring the Emmy Award-winning comic,King Center for Performing Arts,(321) 242-2219,,Laughter and Reflection with Carol Burnett,3/29 8:00PM,http://calendar.orlandoweekly.com/Events/e4216/Laughter_and_Reflection_with_Carol_Burnett
CityWalk at Universal Orlando,$37.50-$45,An Evening with Kevin Smith and Jason Mewes,Hard Rock Live,(407) 351-5483,http://www.hardrock.com/live2/live.asp,Jay & Silent Bob Get Old,3/30 7:00PM,http://calendar.orlandoweekly.com/Events/e3759/Jay_and_Silent_Bob_Get_Old
401 W. Livingston St.,$56.80-$77.75,Emmy Award-winning comedian as seen on Kathy Griffin: My Life on the D-List,Bob Carr Performing Arts Centre,(407) 849-2020,http://www.orlandovenues.net,Kathy Griffin,3/31 8:00PM,http://calendar.orlandoweekly.com/Events/e9092/Kathy_Griffin
401 W. Livingston St.,$35-$65,386 Presents five comedians in one stand-up comedy show,Bob Carr Performing Arts Centre,(407) 849-2020,http://www.orlandovenues.net,Yous A Fool Comedy Extravaganza,4/2 8:00PM,http://calendar.orlandoweekly.com/Events/e10653/Yous_A_Fool_Comedy_Extravaganza
37 W. Pine St.,$16-$18,Best known as a part of Comedy Central&#39;s Comedians of Comedy with Zach Galifiankis and Patton Oswalt,Back Booth,(407) 999-2570,http://www.backbooth.com,Brian Posehn,4/14 8:00PM,http://calendar.orlandoweekly.com/Events/e10535/Brian_Posehn
425 N. Bumby Ave.,call for price,Comedian as seen in the film The Best and the Brightest,The Plaza Theatre,(407) 228-1220,http://www.theplazatheatre.com,Ralphie May,4/15 7:00PM,http://calendar.orlandoweekly.com/Events/e10755/Ralphie_May
401 W. Livingston St.,$45-$95,Comedian as seen in his Comedy Central show Mind of Mencia,Bob Carr Performing Arts Centre,(407) 849-2020,http://www.orlandovenues.net,102 Jamz Comedy Jam: Carlos Mencia,4/30 8:00PM,http://calendar.orlandoweekly.com/Events/e11353/102_Jamz_Comedy_Jam_Carlos_Mencia
CityWalk at Universal Orlando,$42.75,Stand-up comedian as seen on That &#39;70s Show and Sex in the City,Hard Rock Live,(407) 351-5483,http://www.hardrock.com,Jim Gaffigan,7/23 7:00PM,http://calendar.orlandoweekly.com/Events/e3856/Jim_Gaffigan
2411 E. Highway 192,free,Images of Osceola Photography Show,Osceola Center for the Arts,(407) 846-6257,http://www.ocfta.com,Images of Osceola Photography Show,"3/3 9:00AM, 3/4 9:00AM, 3/7 9:00AM, 3/8 9:00AM, 3/9 9:00AM, 3/10 9:00AM, 3/11 9:00AM, 3/14 9:00AM, 3/15 9:00AM, 3/16 9:00AM, 3/17 9:00AM, 3/18 9:00AM, 3/21 9:00AM, 3/22 9:00AM, 3/23 9:00AM, 3/24 9:00AM, 3/25 9:00AM, 3/28 9:00AM, 3/29 9:00AM",http://calendar.orlandoweekly.com/Events/e3567/Images_of_Osceola_Photography_Show
445 N. Park Ave.,free,"The museum features a collection of more than 30 archival images of memorial stones, baptismal fonts and other religious art",Charles Hosmer Morse Museum of American Art,(407) 645-5311,http://www.morsemuseum.org,A Church Record: Photographs from the Tiffany Studios Ecclesiastical Department,"7/29 9:30AM, 4/10 1:00PM, 3/3 9:30AM, 3/4 9:30AM, 3/5 9:30AM, 3/6 1:00PM, 3/8 9:30AM, 3/9 9:30AM, 3/10 9:30AM, 3/11 9:30AM, 3/12 9:30AM, 3/13 1:00PM, 3/15 9:30AM, 3/16 9:30AM, 3/17 9:30AM, 3/18 9:30AM, 3/19 9:30AM, 3/20 1:00PM, 3/22 9:30AM, 3/23 9:30AM, 3/24 9:30AM, 3/25 9:30AM, 3/26 9:30AM, 3/27 1:00PM, 3/29 9:30AM, 3/30 9:30AM, 3/31 9:30AM, 4/1 9:30AM, 4/2 9:30AM, 4/3 1:00PM, 4/5 9:30AM, 4/6 9:30AM, 4/7 9:30AM, 4/8 9:30AM, 4/9 9:30AM, 4/12 9:30AM, 4/13 9:30AM, 4/14 9:30AM, 4/15 9:30AM, 4/16 9:30AM, 4/17 1:00PM, 4/19 9:30AM, 4/20 9:30AM, 4/21 9:30AM, 4/22 9:30AM, 4/23 9:30AM, 4/24 1:00PM, 4/26 9:30AM, 4/27 9:30AM, 4/28 9:30AM, 4/29 9:30AM, 4/30 9:30AM, 5/1 1:00PM, 5/3 9:30AM, 5/4 9:30AM, 5/5 9:30AM, 5/6 9:30AM, 5/7 9:30AM, 5/8 1:00PM, 5/10 9:30AM, 5/11 9:30AM, 5/12 9:30AM, 5/13 9:30AM, 5/14 9:30AM, 5/15 1:00PM, 5/17 9:30AM, 5/18 9:30AM, 5/19 9:30AM, 5/20 9:30AM, 5/21 9:30AM, 5/22 1:00PM, 5/24 9:30AM, 5/25 9:30AM, 5/26 9:30AM, 5/27 9:30AM, 5/28 9:30AM, 5/29 1:00PM, 5/31 9:30AM, 6/1 9:30AM, 6/2 9:30AM, 6/3 9:30AM, 6/4 9:30AM, 6/5 1:00PM, 6/7 9:30AM, 6/8 9:30AM, 6/9 9:30AM, 6/10 9:30AM, 6/11 9:30AM, 6/12 1:00PM, 6/14 9:30AM, 6/15 9:30AM, 6/16 9:30AM, 6/17 9:30AM, 6/18 9:30AM, 6/19 1:00PM, 6/21 9:30AM, 6/22 9:30AM, 6/23 9:30AM, 6/24 9:30AM, 6/25 9:30AM, 6/26 1:00PM, 6/28 9:30AM, 6/29 9:30AM, 6/30 9:30AM, 7/1 9:30AM, 7/2 9:30AM, 7/3 1:00PM, 7/5 9:30AM, 7/6 9:30AM, 7/7 9:30AM, 7/8 9:30AM, 7/9 9:30AM, 7/10 1:00PM, 7/12 9:30AM, 7/13 9:30AM, 7/14 9:30AM, 7/15 9:30AM, 7/16 9:30AM, 7/17 1:00PM, 7/19 9:30AM, 7/20 9:30AM, 7/21 9:30AM, 7/22 9:30AM, 7/23 9:30AM, 7/24 1:00PM, 7/26 9:30AM, 7/27 9:30AM, 7/28 9:30AM, 7/30 9:30AM, 7/31 1:00PM, 8/2 9:30AM, 8/3 9:30AM, 8/4 9:30AM, 8/5 9:30AM, 8/6 9:30AM, 8/7 1:00PM, 8/9 9:30AM, 8/10 9:30AM, 8/11 9:30AM, 8/12 9:30AM, 8/13 9:30AM, 8/14 1:00PM, 8/16 9:30AM, 8/17 9:30AM, 8/18 9:30AM, 8/19 9:30AM, 8/20 9:30AM, 8/21 1:00PM, 8/23 9:30AM, 8/24 9:30AM, 8/25 9:30AM, 8/26 9:30AM, 8/27 9:30AM, 8/28 1:00PM, 8/30 9:30AM, 8/31 9:30AM, 9/1 9:30AM, 9/2 9:30AM, 9/3 9:30AM, 9/4 1:00PM",http://calendar.orlandoweekly.com/Events/e230/A_Church_Record_Photographs_from_the_Tiffany_Studios_Ecclesiastical_Department
445 N. Park Ave.,free,Vignette planned around a mid-19th-century iron bed,Charles Hosmer Morse Museum of American Art,(407) 645-5311,http://www.morsemuseum.org,The Now and Then Room,"3/24 9:30AM, 3/25 9:30AM, 3/26 9:30AM, 3/27 1:00PM, 3/29 9:30AM, 3/30 9:30AM, 3/31 9:30AM, 3/3 9:30AM, 3/4 9:30AM, 3/5 9:30AM, 3/6 1:00PM, 3/8 9:30AM, 3/9 9:30AM, 3/10 9:30AM, 3/11 9:30AM, 3/12 9:30AM, 3/13 1:00PM, 3/15 9:30AM, 3/16 9:30AM, 3/17 9:30AM, 3/18 9:30AM, 3/19 9:30AM, 3/20 1:00PM, 3/22 9:30AM, 3/23 9:30AM, 4/1 9:30AM, 4/2 9:30AM, 4/3 1:00PM, 4/5 9:30AM, 4/6 9:30AM, 4/7 9:30AM, 4/8 9:30AM, 4/9 9:30AM, 4/10 1:00PM, 4/12 9:30AM, 4/13 9:30AM, 4/14 9:30AM, 4/15 9:30AM, 4/16 9:30AM, 4/17 1:00PM, 4/19 9:30AM, 4/20 9:30AM, 4/21 9:30AM, 4/22 9:30AM, 4/23 9:30AM, 4/24 1:00PM, 4/26 9:30AM, 4/27 9:30AM, 4/28 9:30AM, 4/29 9:30AM, 4/30 9:30AM, 5/1 1:00PM, 5/3 9:30AM, 5/4 9:30AM, 5/5 9:30AM, 5/6 9:30AM, 5/7 9:30AM, 5/8 1:00PM, 5/10 9:30AM, 5/11 9:30AM, 5/12 9:30AM, 5/13 9:30AM, 5/14 9:30AM, 5/15 1:00PM, 5/17 9:30AM, 5/18 9:30AM, 5/19 9:30AM, 5/20 9:30AM, 5/21 9:30AM, 5/22 1:00PM, 5/24 9:30AM, 5/25 9:30AM, 5/26 9:30AM, 5/27 9:30AM, 5/28 9:30AM, 5/29 1:00PM, 5/31 9:30AM, 6/1 9:30AM, 6/2 9:30AM, 6/3 9:30AM, 6/4 9:30AM, 6/5 1:00PM, 6/7 9:30AM, 6/8 9:30AM, 6/9 9:30AM, 6/10 9:30AM, 6/11 9:30AM, 6/12 1:00PM, 6/14 9:30AM, 6/15 9:30AM, 6/16 9:30AM, 6/17 9:30AM, 6/18 9:30AM, 6/19 1:00PM, 6/21 9:30AM, 6/22 9:30AM, 6/23 9:30AM, 6/24 9:30AM, 6/25 9:30AM, 6/26 1:00PM, 6/28 9:30AM, 6/29 9:30AM, 6/30 9:30AM, 7/1 9:30AM, 7/2 9:30AM, 7/3 1:00PM, 7/5 9:30AM, 7/6 9:30AM, 7/7 9:30AM, 7/8 9:30AM, 7/9 9:30AM, 7/10 1:00PM, 7/12 9:30AM, 7/13 9:30AM, 7/14 9:30AM, 7/15 9:30AM, 7/16 9:30AM, 7/17 1:00PM, 7/19 9:30AM, 7/20 9:30AM, 7/21 9:30AM, 7/22 9:30AM, 7/23 9:30AM, 7/24 1:00PM, 7/26 9:30AM, 7/27 9:30AM, 7/28 9:30AM, 7/29 9:30AM, 7/30 9:30AM, 7/31 1:00PM, 8/2 9:30AM, 8/3 9:30AM, 8/4 9:30AM, 8/5 9:30AM, 8/6 9:30AM, 8/7 1:00PM, 8/9 9:30AM, 8/10 9:30AM, 8/11 9:30AM, 8/12 9:30AM, 8/13 9:30AM, 8/14 1:00PM, 8/16 9:30AM, 8/17 9:30AM, 8/18 9:30AM, 8/19 9:30AM, 8/20 9:30AM, 8/21 1:00PM, 8/23 9:30AM, 8/24 9:30AM, 8/25 9:30AM, 8/26 9:30AM, 8/27 9:30AM, 8/28 1:00PM, 8/30 9:30AM, 8/31 9:30AM, 9/1 9:30AM, 9/2 9:30AM, 9/3 9:30AM, 9/4 1:00PM",http://calendar.orlandoweekly.com/Events/e7457/The_Now_and_Then_Room
